date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-31.2,0.1,99.9,Safe R,-26.37,3.11,-31.2,-31.01,-0.19,34.4,65.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.74,-0.51,54.7,12.8,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-02,305,-31.2,0.1,99.9,Safe R,-26.37,3.11,-31.2,-31.01,-0.19,34.4,65.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.74,-0.51,54.7,12.8,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-03,304,-31.2,0.1,99.9,Safe R,-26.37,3.11,-31.2,-31.01,-0.19,34.4,65.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.74,-0.51,54.7,12.8,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-04,303,-31.29,0.1,99.9,Safe R,-26.38,3.04,-31.29,-31.01,-0.28,34.35,65.65,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.81,-0.51,54.8,13.1,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.1,29.1,31.1,32.1,38.1,44.1,42.1,46.1,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-05,302,-31.24,0.1,99.9,Safe R,-26.37,3.08,-31.24,-31.01,-0.23,34.38,65.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.77,-0.51,54.8,13.0,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.1,29.1,31.1,32.1,38.1,44.1,42.1,46.1,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-06,301,-31.24,0.1,99.9,Safe R,-26.37,3.08,-31.24,-31.01,-0.23,34.38,65.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.77,-0.51,54.8,13.0,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.1,29.1,31.1,32.1,38.1,44.1,42.1,46.1,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-07,300,-31.24,0.1,99.9,Safe R,-26.37,3.08,-31.24,-31.01,-0.23,34.38,65.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.77,-0.51,54.8,12.9,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.1,29.1,31.1,32.1,38.1,44.1,42.1,46.1,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-08,299,-31.24,0.1,99.9,Safe R,-26.37,3.08,-31.24,-31.01,-0.23,34.38,65.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.77,-0.51,54.8,12.9,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.1,29.1,31.1,32.1,38.1,44.1,42.1,46.1,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-09,298,-31.23,0.1,99.9,Safe R,-26.37,3.09,-31.23,-31.01,-0.22,34.39,65.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.76,-0.51,54.8,13.0,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-10,297,-31.23,0.1,99.9,Safe R,-26.37,3.09,-31.23,-31.01,-0.22,34.39,65.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.76,-0.51,54.8,13.0,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-11,296,-31.28,0.1,99.9,Safe R,-26.38,3.05,-31.28,-31.01,-0.27,34.36,65.64,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.8,-0.51,54.7,12.8,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.1,29.1,31.1,32.1,38.1,44.1,42.1,46.1,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-12,295,-31.22,0.1,99.9,Safe R,-26.37,3.1,-31.22,-31.01,-0.21,34.39,65.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.75,-0.51,54.7,12.6,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-13,294,-31.23,0.1,99.9,Safe R,-26.37,3.09,-31.23,-31.01,-0.22,34.39,65.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.76,-0.51,54.6,12.5,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-14,293,-31.23,0.1,99.9,Safe R,-26.37,3.09,-31.23,-31.01,-0.22,34.39,65.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.76,-0.51,54.6,12.5,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-15,292,-31.2,0.1,99.9,Safe R,-26.37,3.11,-31.2,-31.01,-0.19,34.4,65.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.74,-0.51,54.6,12.6,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-16,291,-31.2,0.1,99.9,Safe R,-26.37,3.11,-31.2,-31.01,-0.19,34.4,65.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.74,-0.51,54.6,12.4,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-17,290,-31.15,0.1,99.9,Safe R,-26.36,3.15,-31.15,-31.01,-0.14,34.42,65.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.7,-0.51,54.6,12.4,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-18,289,-31.24,0.1,99.9,Safe R,-26.37,3.08,-31.24,-31.01,-0.23,34.38,65.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.77,-0.51,54.6,12.4,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.1,29.1,31.1,32.1,38.1,44.1,42.1,46.1,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-19,288,-31.19,0.1,99.9,Safe R,-26.36,3.12,-31.19,-31.01,-0.18,34.4,65.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.73,-0.51,54.6,12.5,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-20,287,-31.1,0.1,99.9,Safe R,-26.35,3.19,-31.1,-31.01,-0.09,34.45,65.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.66,-0.51,54.5,12.3,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-01-21,286,-31.1,0.1,99.9,Safe R,-26.35,3.19,-31.1,-31.01,-0.09,34.45,65.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.66,-0.51,54.5,12.3,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-01-22,285,-31.08,0.1,99.9,Safe R,-26.34,3.21,-31.08,-31.01,-0.07,34.46,65.54,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.64,-0.51,54.4,12.2,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-01-23,284,-31.08,0.1,99.9,Safe R,-26.34,3.21,-31.08,-31.01,-0.07,34.46,65.54,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.64,-0.51,54.4,12.2,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-01-24,283,-31.07,0.2,99.8,Safe R,-26.34,3.22,-31.07,-31.01,-0.06,34.47,65.53,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.63,-0.51,54.4,12.2,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-01-25,282,-31.15,0.1,99.9,Safe R,-26.36,3.15,-31.15,-31.01,-0.14,34.42,65.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.7,-0.51,54.4,12.2,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-01-26,281,-31.1,0.1,99.9,Safe R,-26.35,3.19,-31.1,-31.01,-0.09,34.45,65.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.66,-0.51,54.3,11.9,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-01-27,280,-31.1,0.1,99.9,Safe R,-26.35,3.19,-31.1,-31.01,-0.09,34.45,65.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.66,-0.51,54.3,11.9,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-01-28,279,-31.07,0.2,99.8,Safe R,-26.34,3.22,-31.07,-31.01,-0.06,34.47,65.53,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.63,-0.51,54.4,11.9,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-01-29,278,-31.08,0.1,99.9,Safe R,-26.34,3.21,-31.08,-31.01,-0.07,34.46,65.54,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.64,-0.51,54.4,12.0,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-01-30,277,-31.07,0.2,99.8,Safe R,-26.34,3.22,-31.07,-31.01,-0.06,34.47,65.53,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.63,-0.51,54.3,11.9,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-01-31,276,-31.07,0.2,99.8,Safe R,-26.34,3.22,-31.07,-31.01,-0.06,34.47,65.53,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.63,-0.51,54.3,11.9,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-02-01,275,-31.18,0.1,99.9,Safe R,-26.36,3.13,-31.18,-31.01,-0.17,34.41,65.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.72,-0.51,54.4,12.0,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-02-02,274,-31.18,0.1,99.9,Safe R,-26.36,3.13,-31.18,-31.01,-0.17,34.41,65.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.72,-0.51,54.3,11.9,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-02-03,273,-31.18,0.1,99.9,Safe R,-26.36,3.13,-31.18,-31.01,-0.17,34.41,65.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.72,-0.51,54.3,11.9,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-02-04,272,-31.17,0.1,99.9,Safe R,-26.36,3.14,-31.17,-31.01,-0.16,34.42,65.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.71,-0.51,54.3,11.9,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-02-05,271,-31.17,0.1,99.9,Safe R,-26.36,3.14,-31.17,-31.01,-0.16,34.42,65.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.71,-0.51,54.3,11.9,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-02-06,270,-31.17,0.1,99.9,Safe R,-26.36,3.14,-31.17,-31.01,-0.16,34.42,65.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.71,-0.51,54.3,11.9,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-02-07,269,-31.15,0.1,99.9,Safe R,-26.36,3.15,-31.15,-31.01,-0.14,34.42,65.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.7,-0.51,54.3,11.9,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-02-08,268,-31.18,0.1,99.9,Safe R,-26.36,3.13,-31.18,-31.01,-0.17,34.41,65.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.72,-0.51,54.1,11.5,30.0,76.0,48.0,50.0,43.0,43.0,41.9,38.9,33.9,30.9,30.9,31.9,31.9,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.4,38.4,38.4,37.4,36.4,35.4,34.4,33.4,33.4,32.4,32.4,32.4,33.4,33.4,34.4,35.4
2026-02-09,267,-31.13,0.1,99.9,Safe R,-26.35,3.17,-31.13,-31.01,-0.12,34.44,65.56,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.68,-0.51,54.1,11.6,30.0,76.0,48.0,50.0,43.0,43.0,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-02-10,266,-31.09,0.1,99.9,Safe R,-26.34,3.2,-31.09,-31.01,-0.08,34.45,65.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.65,-0.51,54.1,11.5,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-02-11,265,-31.09,0.1,99.9,Safe R,-26.34,3.2,-31.09,-31.01,-0.08,34.45,65.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.65,-0.51,54.1,11.5,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-02-12,264,-31.1,0.1,99.9,Safe R,-26.35,3.19,-31.1,-31.01,-0.09,34.45,65.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.66,-0.51,54.1,11.5,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-02-13,263,-31.1,0.1,99.9,Safe R,-26.35,3.19,-31.1,-31.01,-0.09,34.45,65.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.66,-0.51,54.1,11.5,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-02-14,262,-31.09,0.1,99.9,Safe R,-26.34,3.2,-31.09,-31.01,-0.08,34.45,65.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.65,-0.51,54.1,11.5,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-02-15,261,-31.09,0.1,99.9,Safe R,-26.34,3.2,-31.09,-31.01,-0.08,34.45,65.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.65,-0.51,54.1,11.5,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-02-16,260,-31.05,0.1,99.9,Safe R,-26.34,3.23,-31.05,-31.01,-0.04,34.47,65.53,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.62,-0.51,54.0,11.4,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-02-17,259,-31.07,0.1,99.9,Safe R,-26.34,3.22,-31.07,-31.01,-0.06,34.47,65.53,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.63,-0.51,54.0,11.3,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-02-18,258,-31.05,0.1,99.9,Safe R,-26.34,3.23,-31.05,-31.01,-0.04,34.47,65.53,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.62,-0.51,54.0,11.3,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
2026-02-19,257,-31.05,0.1,99.9,Safe R,-26.34,3.23,-31.05,-31.01,-0.04,34.47,65.53,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,23574,526048,0,-26.62,-0.51,54.1,11.4,30.1,76.1,48.1,50.1,43.1,43.1,42.0,39.0,34.0,31.0,31.0,32.0,32.0,34.2,29.2,31.2,32.2,38.2,44.2,42.2,46.2,39.5,38.5,38.5,37.5,36.5,35.5,34.5,33.5,33.5,32.5,32.5,32.5,33.5,33.5,34.5,35.5
