date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-13.58,9.7,90.3,Likely R,-16.26,3.11,-13.58,-16.41,2.83,43.21,56.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.59,-0.43,49.0,1.4,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-02,305,-13.58,9.7,90.3,Likely R,-16.26,3.11,-13.58,-16.41,2.83,43.21,56.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.59,-0.43,49.0,1.4,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-03,304,-13.58,9.7,90.3,Likely R,-16.26,3.11,-13.58,-16.41,2.83,43.21,56.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.59,-0.43,49.0,1.4,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-04,303,-13.65,9.6,90.4,Likely R,-16.26,3.04,-13.65,-16.41,2.76,43.17,56.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.66,-0.43,49.1,1.7,37.0,83.0,55.0,57.0,50.0,50.0,50.0,47.0,42.0,39.0,39.0,40.0,40.0,43.1,38.1,40.1,41.1,47.1,53.1,51.1,55.1,48.2,47.2,47.2,46.2,45.2,44.2,43.2,42.2,42.2,41.2,41.2,41.2,42.2,42.2,43.2,44.2
2026-01-05,302,-13.61,9.7,90.3,Likely R,-16.26,3.08,-13.61,-16.41,2.8,43.19,56.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.62,-0.43,49.1,1.6,37.0,83.0,55.0,57.0,50.0,50.0,50.0,47.0,42.0,39.0,39.0,40.0,40.0,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.2,47.2,47.2,46.2,45.2,44.2,43.2,42.2,42.2,41.2,41.2,41.2,42.2,42.2,43.2,44.2
2026-01-06,301,-13.61,9.7,90.3,Likely R,-16.26,3.08,-13.61,-16.41,2.8,43.19,56.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.62,-0.43,49.1,1.6,37.0,83.0,55.0,57.0,50.0,50.0,50.0,47.0,42.0,39.0,39.0,40.0,40.0,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.2,47.2,47.2,46.2,45.2,44.2,43.2,42.2,42.2,41.2,41.2,41.2,42.2,42.2,43.2,44.2
2026-01-07,300,-13.61,9.7,90.3,Likely R,-16.26,3.08,-13.61,-16.41,2.8,43.19,56.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.62,-0.43,49.1,1.5,37.0,83.0,55.0,57.0,50.0,50.0,50.0,47.0,42.0,39.0,39.0,40.0,40.0,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.2,47.2,47.2,46.2,45.2,44.2,43.2,42.2,42.2,41.2,41.2,41.2,42.2,42.2,43.2,44.2
2026-01-08,299,-13.61,9.7,90.3,Likely R,-16.26,3.08,-13.61,-16.41,2.8,43.19,56.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.62,-0.43,49.1,1.5,37.0,83.0,55.0,57.0,50.0,50.0,50.0,47.0,42.0,39.0,39.0,40.0,40.0,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.2,47.2,47.2,46.2,45.2,44.2,43.2,42.2,42.2,41.2,41.2,41.2,42.2,42.2,43.2,44.2
2026-01-09,298,-13.6,9.7,90.3,Likely R,-16.26,3.09,-13.6,-16.41,2.81,43.2,56.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.61,-0.43,49.1,1.5,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-10,297,-13.6,9.7,90.3,Likely R,-16.26,3.09,-13.6,-16.41,2.81,43.2,56.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.61,-0.43,49.1,1.5,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-11,296,-13.64,9.6,90.4,Likely R,-16.26,3.05,-13.64,-16.41,2.77,43.18,56.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.65,-0.43,49.0,1.3,37.0,83.0,55.0,57.0,50.0,50.0,50.0,47.0,42.0,39.0,39.0,40.0,40.0,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.2,47.2,47.2,46.2,45.2,44.2,43.2,42.2,42.2,41.2,41.2,41.2,42.2,42.2,43.2,44.2
2026-01-12,295,-13.59,9.7,90.3,Likely R,-16.26,3.1,-13.59,-16.41,2.82,43.2,56.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.6,-0.43,48.9,1.2,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-13,294,-13.6,9.7,90.3,Likely R,-16.26,3.09,-13.6,-16.41,2.81,43.2,56.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.61,-0.43,48.9,1.0,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-14,293,-13.6,9.7,90.3,Likely R,-16.26,3.09,-13.6,-16.41,2.81,43.2,56.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.61,-0.43,48.9,1.1,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-15,292,-13.58,9.7,90.3,Likely R,-16.26,3.11,-13.58,-16.41,2.83,43.21,56.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.59,-0.43,48.9,1.1,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-16,291,-13.58,9.7,90.3,Likely R,-16.26,3.11,-13.58,-16.41,2.83,43.21,56.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.59,-0.43,48.9,1.0,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-17,290,-13.54,9.8,90.2,Likely R,-16.26,3.15,-13.54,-16.41,2.87,43.23,56.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.55,-0.43,48.8,0.9,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-18,289,-13.61,9.7,90.3,Likely R,-16.26,3.08,-13.61,-16.41,2.8,43.19,56.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.62,-0.43,48.9,1.0,37.0,83.0,55.0,57.0,50.0,50.0,50.0,47.0,42.0,39.0,39.0,40.0,40.0,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.2,47.2,47.2,46.2,45.2,44.2,43.2,42.2,42.2,41.2,41.2,41.2,42.2,42.2,43.2,44.2
2026-01-19,288,-13.57,9.7,90.3,Likely R,-16.26,3.12,-13.57,-16.41,2.84,43.21,56.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.58,-0.43,48.9,1.1,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-20,287,-13.5,9.9,90.1,Likely R,-16.26,3.19,-13.5,-16.41,2.91,43.25,56.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.51,-0.43,48.7,0.8,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-21,286,-13.5,9.9,90.1,Likely R,-16.26,3.19,-13.5,-16.41,2.91,43.25,56.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.51,-0.43,48.8,0.9,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-22,285,-13.48,9.9,90.1,Likely R,-16.26,3.21,-13.48,-16.41,2.93,43.26,56.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.49,-0.43,48.7,0.8,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-23,284,-13.48,9.9,90.1,Likely R,-16.26,3.21,-13.48,-16.41,2.93,43.26,56.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.49,-0.43,48.7,0.8,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-24,283,-13.47,9.9,90.1,Likely R,-16.26,3.22,-13.47,-16.41,2.94,43.26,56.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.48,-0.43,48.7,0.8,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-25,282,-13.54,9.8,90.2,Likely R,-16.26,3.15,-13.54,-16.41,2.87,43.23,56.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.55,-0.43,48.7,0.7,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-26,281,-13.5,9.9,90.1,Likely R,-16.26,3.19,-13.5,-16.41,2.91,43.25,56.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.51,-0.43,48.6,0.5,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-27,280,-13.5,9.9,90.1,Likely R,-16.26,3.19,-13.5,-16.41,2.91,43.25,56.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.51,-0.43,48.6,0.5,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-28,279,-13.47,9.9,90.1,Likely R,-16.26,3.22,-13.47,-16.41,2.94,43.26,56.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.48,-0.43,48.7,0.4,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-29,278,-13.48,9.9,90.1,Likely R,-16.26,3.21,-13.48,-16.41,2.93,43.26,56.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.49,-0.43,48.7,0.6,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-30,277,-13.47,9.9,90.1,Likely R,-16.26,3.22,-13.47,-16.41,2.94,43.26,56.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.48,-0.43,48.6,0.5,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-01-31,276,-13.47,9.9,90.1,Likely R,-16.26,3.22,-13.47,-16.41,2.94,43.26,56.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.48,-0.43,48.6,0.5,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-01,275,-13.56,9.8,90.2,Likely R,-16.26,3.13,-13.56,-16.41,2.85,43.22,56.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.57,-0.43,48.7,0.6,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-02,274,-13.56,9.7,90.3,Likely R,-16.26,3.13,-13.56,-16.41,2.85,43.22,56.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.57,-0.43,48.6,0.5,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-03,273,-13.56,9.7,90.3,Likely R,-16.26,3.13,-13.56,-16.41,2.85,43.22,56.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.57,-0.43,48.6,0.5,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-04,272,-13.55,9.8,90.2,Likely R,-16.26,3.14,-13.55,-16.41,2.86,43.22,56.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.56,-0.43,48.6,0.5,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-05,271,-13.55,9.8,90.2,Likely R,-16.26,3.14,-13.55,-16.41,2.86,43.22,56.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.56,-0.43,48.6,0.5,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-06,270,-13.55,9.8,90.2,Likely R,-16.26,3.14,-13.55,-16.41,2.86,43.22,56.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.56,-0.43,48.6,0.4,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-07,269,-13.54,9.8,90.2,Likely R,-16.26,3.15,-13.54,-16.41,2.87,43.23,56.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.55,-0.43,48.6,0.4,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-08,268,-13.56,9.7,90.3,Likely R,-16.26,3.13,-13.56,-16.41,2.85,43.22,56.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.57,-0.43,48.4,0.1,37.0,83.0,55.0,57.0,50.0,50.0,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-09,267,-13.52,9.8,90.2,Likely R,-16.26,3.17,-13.52,-16.41,2.89,43.24,56.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.53,-0.43,48.4,0.1,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-10,266,-13.49,9.9,90.1,Likely R,-16.26,3.2,-13.49,-16.41,2.92,43.25,56.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.5,-0.43,48.4,0.1,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-11,265,-13.49,9.9,90.1,Likely R,-16.26,3.2,-13.49,-16.41,2.92,43.25,56.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.5,-0.43,48.4,0.1,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-12,264,-13.5,9.8,90.2,Likely R,-16.26,3.19,-13.5,-16.41,2.91,43.25,56.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.51,-0.43,48.4,0.1,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-13,263,-13.5,9.8,90.2,Likely R,-16.26,3.19,-13.5,-16.41,2.91,43.25,56.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.51,-0.43,48.4,0.1,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-14,262,-13.49,9.9,90.1,Likely R,-16.26,3.2,-13.49,-16.41,2.92,43.25,56.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.5,-0.43,48.4,0.1,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-15,261,-13.49,9.9,90.1,Likely R,-16.26,3.2,-13.49,-16.41,2.92,43.25,56.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.5,-0.43,48.4,0.1,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-16,260,-13.46,9.9,90.1,Likely R,-16.26,3.23,-13.46,-16.41,2.95,43.27,56.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.47,-0.43,48.3,-0.0,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-17,259,-13.47,9.9,90.1,Likely R,-16.26,3.22,-13.47,-16.41,2.94,43.26,56.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.48,-0.43,48.3,-0.1,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-18,258,-13.46,9.9,90.1,Likely R,-16.26,3.23,-13.46,-16.41,2.95,43.27,56.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.47,-0.43,48.3,-0.1,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-19,257,-13.46,9.9,90.1,Likely R,-16.26,3.23,-13.46,-16.41,2.95,43.27,56.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.47,-0.43,48.4,-0.0,37.1,83.1,55.1,57.1,50.1,50.1,50.1,47.1,42.1,39.1,39.1,40.1,40.1,43.2,38.2,40.2,41.2,47.2,53.2,51.2,55.2,48.3,47.3,47.3,46.3,45.3,44.3,43.3,42.3,42.3,41.3,41.3,41.3,42.3,42.3,43.3,44.3
2026-02-20,256,-13.4,10.0,90.0,Likely R,-16.26,3.29,-13.4,-16.41,3.01,43.3,56.7,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-13.41,-0.43,48.2,-0.5,37.1,83.1,55.1,57.1,50.1,50.1,50.2,47.2,42.2,39.2,39.2,40.2,40.2,43.3,38.3,40.3,41.3,47.3,53.3,51.3,55.3,48.4,47.4,47.4,46.4,45.4,44.4,43.4,42.4,42.4,41.4,41.4,41.4,42.4,42.4,43.4,44.4
