race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,2.93,61.1,38.9,Lean D,-12.1,4.35,-13.45,16.38,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.37,40.41,3,9.96,0.15,51.47,48.53,0.0,599302,565152,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-45.27,0.0,100.0,Safe R,-36.28,4.35,-37.52,-7.75,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,27.36,72.64,0.0,173361,460182,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,17.71,95.5,4.5,Safe D,12.91,4.35,11.14,6.57,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.299999999999997,0.15,58.85,41.15,0.0,2327545,1627192,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Vicki Schmidt,DEM,REP,,DEM,-14.62,8.0,92.0,Likely R,-16.26,4.35,-16.41,1.79,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,42.69,57.31,0.0,396717,532597,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.52,99.8,0.2,Safe D,27.69,4.35,25.91,4.61,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.63,30.21,5,22.42,0.194,65.26,34.74,0.0,1586869,844699,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,35.37,100.0,0.0,Safe D,30.41,4.35,29.51,5.86,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.33,29.04,2,20.29,0.15,67.68,32.32,0.0,1439501,687333,0,0,2126834
ME-GOV,governor,ME,GOV,Shenna Bellows,Jonathan Bush,DEM,REP,,DEM,9.89,82.9,17.1,Likely D,7.49,4.35,7.09,2.81,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,54.95,45.05,0.0,319773,262189,0,0,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,10.8,85.0,15.0,Likely D,-0.36,4.35,-1.44,12.24,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.57,28.85,14,5.719999999999999,0.272,55.4,44.6,0.0,2196176,1768086,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,9.08,80.8,19.2,Likely D,4.94,4.35,4.34,4.74,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.55,34.74,3,16.809999999999995,0.15,54.54,45.46,0.0,1242283,1035461,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-18.26,4.0,96.0,Safe R,-20.75,4.35,-20.84,2.58,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,33.0,38.0,1,-5.0,0.15,40.87,59.13,0.0,270956,392055,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-12.67,11.2,88.8,Likely R,3.66,4.35,2.82,-15.49,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,37.39,46.66,5,-9.269999999999996,0.194,43.67,56.33,0.0,252529,325803,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,7.67,76.9,23.1,Likely D,7.45,4.35,6.14,1.52,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,53.83,46.17,0.0,347968,298409,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,4.29,66.0,34.0,Lean D,-1.54,4.35,-3.15,7.45,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,37.4,33.9,4,3.5,0.175,52.15,47.85,0.0,541841,497226,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,13.48,90.2,9.8,Likely D,15.38,4.35,12.68,0.8,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.87,34.0,21,15.869999999999997,0.294,56.74,43.26,0.0,3298628,2514870,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-5.57,29.6,70.4,Lean R,-10.26,4.35,-11.31,5.74,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,46.54,47.28,12,-0.740000000000002,0.262,47.21,52.79,0.0,1905350,2130161,0,0,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Gentner Drummond,DEM,REP,,REP,-32.42,0.1,99.9,Safe R,-34.68,4.35,-34.95,2.53,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,33.79,66.21,0.0,370424,725798,0,0,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,5.71,70.8,29.2,Lean D,15.34,4.35,14.89,-9.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.33,37.33,1,7.0,0.15,52.85,47.15,0.0,830753,741021,0,0,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,15.06,92.6,7.4,Likely D,-0.87,4.35,-1.75,16.82,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.83,35.5,5,19.33,0.194,57.53,42.47,0.0,2832654,2090963,0,0,4923617
RI-GOV,governor,RI,GOV,Dan McKee,Aaron Guckian,DEM,REP,DEM,DEM,20.38,97.5,2.5,Safe D,15.7,4.35,14.16,6.22,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,30.5,15.5,1,15.0,0.15,60.19,39.81,0.0,216285,143063,0,0,359348
SC-GOV,governor,SC,GOV,Jermaine Johnson,Pamela Evette,DEM,REP,,REP,-12.99,10.6,89.4,Likely R,-16.63,4.35,-18.12,5.13,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,43.5,56.5,0.0,775960,1007738,0,0,1783698
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-27.63,0.4,99.6,Safe R,-29.31,4.35,-29.98,2.35,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,36.19,63.81,0.0,108006,190467,0,0,298473
TN-GOV,governor,TN,GOV,Carnita Atwater,Marsha Blackburn,DEM,REP,,REP,-21.97,1.7,98.3,Safe R,-28.63,4.35,-30.12,8.15,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,27.02,50.99,3,-23.970000000000002,0.15,39.01,60.99,0.0,836729,1308030,0,0,2144759
TX-GOV,governor,TX,GOV,Gina Hinojosa,Greg Abbott,DEM,REP,REP,REP,-8.31,21.2,78.8,Likely R,-12.03,4.35,-13.88,5.56,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.39,46.64,8,-6.25,0.233,45.84,54.16,0.0,3659773,4323396,0,0,7983170
VT-GOV,governor,VT,GOV,Amanda Janoo,Phil Scott,DEM,REP,REP,REP,-26.64,0.5,99.5,Safe R,33.5,4.35,32.77,-59.41,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,36.68,63.32,0.0,94856,163739,0,0,258595
WI-GOV,governor,WI,GOV,Mandela Barnes,Tom Tiffany,DEM,REP,,DEM,7.13,75.3,24.7,Likely D,-0.25,4.35,-0.87,8.01,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.01,41.55,5,0.46000000000000085,0.194,53.57,46.43,0.0,1283485,1112558,0,0,2396043
WY-GOV,governor,WY,GOV,Gabriel Green,Megan Degenfelder,DEM,REP,,REP,-41.05,0.0,100.0,Safe R,-46.63,4.35,-46.96,5.91,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,29.47,70.53,0.0,55509,132825,0,0,188334
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-1.53,47.1,52.9,Toss-up,-11.24,4.35,-13.8,12.27,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,50.5,45.07,9,5.43,0.242,48.45,49.95,1.6,114554,118109,3783,0,236446
AL-SEN,senate,AL,SEN,Dakarai Larriett,Barry Moore,DEM,REP,,REP,-23.13,1.3,98.7,Safe R,-27.46,4.35,-30.88,7.75,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,38.43,61.57,0.0,609384,976179,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-26.9,0.5,99.5,Safe R,-29.43,4.35,-31.57,4.66,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,36.0,58.0,1,-22.0,0.15,36.55,63.45,0.0,306815,532642,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,21.71,98.1,1.9,Safe D,13.82,4.35,11.29,10.42,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,60.85,39.15,0.0,1360049,874872,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,21.06,97.8,2.2,Safe D,15.61,4.35,14.84,6.22,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,60.53,39.47,0.0,216428,141114,0,0,357542
FL-SEN,senate,FL,SEN,Alexander Vindman,Ashley Moody,DEM,REP,REP,REP,-5.61,29.5,70.5,Lean R,-8.53,4.35,-13.22,7.61,False,False,,,0.0,0.0,,,0.0,projected,confirmed,38.49,46.64,8,-8.149999999999999,0.233,47.19,52.81,0.0,3612650,4042176,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,8.25,78.6,21.4,Likely D,-1.72,4.35,-2.21,10.46,False,False,,,0.0,0.0,,,0.0,confirmed,projected,48.84,42.98,12,5.8600000000000065,0.262,54.13,45.87,0.0,1989169,1685877,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-4.36,33.8,66.2,Lean R,-8.0,4.35,-13.45,9.09,False,False,LIB,,0.0,0.0,,,0.0,presumptive,presumptive,44.87,45.11,5,-0.240000000000002,0.194,46.56,50.81,2.63,542205,591624,30625,0,1164454
ID-SEN,senate,ID,SEN,David Roth,Jim Risch,DEM,REP,REP,REP,-37.82,0.0,100.0,Safe R,-38.21,4.35,-37.52,-0.29,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,31.09,68.91,0.0,196979,436564,0,0,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,18.91,96.5,3.5,Safe D,14.55,4.35,11.14,7.78,False,False,,,0.0,0.0,,,0.0,presumptive,projected,,,0,,0.0,59.46,40.54,0.0,2351378,1603359,0,0,3954737
KS-SEN,senate,KS,SEN,Kansas Democrat,Roger Marshall,DEM,REP,REP,REP,-12.4,11.7,88.3,Likely R,-15.82,4.35,-16.41,4.01,False,False,,,0.0,0.0,,,0.0,projected,confirmed,45.45,52.12,2,-6.669999999999995,0.15,43.8,56.2,0.0,407028,522286,0,0,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-28.69,0.3,99.7,Safe R,-30.03,4.35,-31.03,2.34,False,False,,,0.0,0.0,,,0.0,presumptive,projected,37.6,47.4,1,-9.799999999999997,0.15,35.65,64.35,0.0,517756,934413,0,0,1452169
LA-SEN,senate,LA,SEN,Gary Crockett,Julia Letlow,DEM,REP,,REP,-24.64,0.9,99.1,Safe R,-21.33,4.35,-22.36,-2.28,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,37.68,62.32,0.0,529366,875516,0,0,1404882
MA-SEN,senate,MA,SEN,Ed Markey,John Deaton,DEM,REP,DEM,DEM,32.84,99.9,0.1,Safe D,28.84,4.35,25.91,6.93,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,55.76,27.94,6,27.819999999999997,0.21,66.42,33.58,0.0,1615009,816558,0,0,2431568
ME-SEN,senate,ME,SEN,Graham Platner,Susan Collins,DEM,REP,REP,REP,-0.11,48.8,51.2,Toss-up,8.2,4.35,7.09,-7.19,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,46.5,42.28,15,4.219999999999999,0.276,49.45,49.55,1.0,287766,288377,5820,0,581962
MI-SEN,senate,MI,SEN,Abdul El-Sayed,Mike Rogers,DEM,REP,,DEM,4.34,66.1,33.9,Lean D,2.7,4.35,-1.44,5.78,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,41.9,43.47,9,-1.5700000000000003,0.242,52.17,47.83,0.0,2068081,1896180,0,0,3964262
MN-SEN,senate,MN,SEN,Angie Craig,Minnesota Republican,DEM,REP,,DEM,8.57,79.5,20.5,Likely D,6.12,4.35,4.34,4.22,False,False,,,0.0,0.0,,,0.0,projected,projected,46.85,40.43,4,6.420000000000002,0.175,54.28,45.72,0.0,1236426,1041318,0,0,2277744
MS-SEN,senate,MS,SEN,Scott Colom,Cindy Hyde-Smith,DEM,REP,REP,REP,-13.43,9.9,90.1,Likely R,-21.5,4.35,-23.15,9.71,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,39.0,42.0,1,-3.0,0.15,43.28,56.72,0.0,372059,487546,0,0,859605
MT-SEN,senate,MT,SEN,Alani Bankhead,Kurt Alme,DEM,REP,,REP,-26.33,0.0,93.5,Safe R,-19.79,4.35,-20.58,-5.75,False,True,IND,Seth Bodnar,28.87,6.5,,,0.0,projected,confirmed,19.0,43.0,1,-24.0,0.15,12.26,55.2,3.66,51752,233001,15448,121873,422074
NC-SEN,senate,NC,SEN,Roy Cooper,Michael Whatley,DEM,REP,,REP,4.4,66.4,33.6,Lean D,-2.64,4.35,-3.27,7.67,False,False,GRN,,0.0,0.0,,,0.0,confirmed,confirmed,49.32,39.79,18,9.530000000000001,0.286,51.22,46.91,1.87,2042548,1870353,74566,0,3987467
NE-SEN,senate,NE,SEN,Cindy Burbank,Pete Ricketts,DEM,REP,REP,REP,-11.03,25.8,74.2,Lean R,-20.1,4.35,-20.84,9.81,False,True,IND,Dan Osborn,41.35,25.8,,,0.0,projected,confirmed,47.0,48.0,2,-1.0,0.15,6.28,52.38,0.0,41606,347273,0,274131,663011
NH-SEN,senate,NH,SEN,Chris Pappas,Scott Brown,DEM,REP,,DEM,6.71,74.0,26.0,Lean D,-0.21,4.35,2.82,3.89,False,False,,,0.0,0.0,,,0.0,presumptive,projected,47.71,40.8,15,6.910000000000004,0.276,53.35,46.65,0.0,308562,269770,0,0,578332
NJ-SEN,senate,NJ,SEN,Cory Booker,Justin Murphy,DEM,REP,DEM,DEM,14.75,92.2,7.8,Likely D,8.13,4.35,5.63,9.13,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,57.38,42.62,0.0,1671770,1241917,0,0,2913686
NM-SEN,senate,NM,SEN,Ben Ray Lujan,Larry Marker,DEM,REP,DEM,DEM,16.1,93.9,6.1,Likely D,7.83,4.35,6.14,9.96,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,58.05,41.95,0.0,375223,271154,0,0,646377
OH-SEN,senate,OH,SEN,Sherrod Brown,Jon Husted,DEM,REP,REP,REP,-3.68,36.2,63.8,Lean R,-8.83,4.35,-11.31,7.63,False,False,LIB,,0.0,0.0,,,0.0,confirmed,confirmed,46.74,49.34,10,-2.6000000000000014,0.25,47.4,51.03,1.57,1912941,2059213,63358,0,4035512
OK-SEN,senate,OK,SEN,Oklahoma Democrat,Markwayne Mullin,DEM,REP,REP,REP,-25.61,0.7,99.3,Safe R,-34.05,4.35,-34.95,9.34,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,37.19,62.81,0.0,407728,688495,0,0,1096222
OR-SEN,senate,OR,SEN,Jeff Merkley,David Brock Smith,DEM,REP,DEM,DEM,18.14,95.9,4.1,Safe D,13.04,4.35,14.89,3.25,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,59.07,40.93,0.0,928443,643332,0,0,1571774
RI-SEN,senate,RI,SEN,Jack Reed,Raymond McKay,DEM,REP,DEM,DEM,22.88,98.6,1.4,Safe D,17.25,4.35,14.16,8.72,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,61.44,38.56,0.0,220783,138564,0,0,359348
SC-SEN,senate,SC,SEN,Annie Andrews,Lindsey Graham,DEM,REP,REP,REP,-8.11,21.8,78.2,Likely R,-15.35,4.35,-18.12,10.01,False,False,LIB,,0.0,0.0,,,0.0,presumptive,confirmed,40.74,45.46,2,-4.719999999999999,0.15,45.08,53.05,1.87,804169,946174,33355,0,1783698
SD-SEN,senate,SD,SEN,Julian Beaudion,Mike Rounds,DEM,REP,REP,REP,-28.8,0.3,99.7,Safe R,-28.72,4.35,-29.98,1.18,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,31.8,49.29,2,-17.49,0.15,35.6,64.4,0.0,106259,192214,0,0,298473
TN-SEN,senate,TN,SEN,Marquita Bradshaw,Bill Hagerty,DEM,REP,REP,REP,-29.57,0.2,99.8,Safe R,-26.59,4.35,-30.12,0.55,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,35.21,64.79,0.0,755261,1389499,0,0,2144759
TX-SEN,senate,TX,SEN,James Talarico,Ken Paxton,DEM,REP,,REP,-0.34,48.7,51.3,Toss-up,-10.64,4.35,-13.88,13.54,False,False,LIB,,0.0,0.0,,,0.0,confirmed,confirmed,43.01,40.14,17,2.8699999999999974,0.283,48.83,49.16,2.01,3898039,3924669,160462,0,7983170
VA-SEN,senate,VA,SEN,Mark Warner,Virginia Republican,DEM,REP,DEM,DEM,12.75,89.0,11.0,Likely D,6.87,4.35,5.89,6.86,False,False,,,0.0,0.0,,,0.0,confirmed,projected,45.0,38.0,1,7.0,0.15,56.38,43.62,0.0,1777159,1375143,0,0,3152302
WV-SEN,senate,WV,SEN,Rachel Anderson,Shelley Moore Capito,DEM,REP,REP,REP,-41.17,0.0,100.0,Safe R,-41.99,4.35,-42.69,1.52,False,False,,,0.0,0.0,,,0.0,projected,confirmed,,,0,,0.0,29.42,70.58,0.0,156983,376690,0,0,533673
WY-SEN,senate,WY,SEN,James Byrd,Harriet Hageman,DEM,REP,,REP,-42.08,0.0,100.0,Safe R,-45.15,4.35,-46.96,4.88,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,28.96,71.04,0.0,54540,133794,0,0,188334
AK-01,house,AK,01,Mary Peltola,Nick Begich III,DEM,REP,REP,REP,-4.26,40.3,59.7,Toss-up,-9.17,4.35,-13.8,9.54,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,24.87,45.28,5,-20.41,0.194,47.1,51.3,1.6,111374,121289,3783,0,236446
AL-01,house,AL,01,Democratic candidate (AL-01),Republican candidate (AL-01),DEM,REP,REP,REP,-29.97,0.2,99.8,Safe R,-31.54,4.35,-36.34,6.37,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,35.01,64.99,0.0,80409,149239,0,0,229648
AL-02,house,AL,02,Democratic candidate (AL-02),Republican candidate (AL-02),DEM,REP,REP,REP,-7.63,23.2,76.8,Likely R,-9.74,4.35,-14.46,6.83,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,46.18,53.82,0.0,94781,110441,0,0,205222
AL-03,house,AL,03,Democratic candidate (AL-03),Republican candidate (AL-03),DEM,REP,REP,REP,-40.83,0.0,100.0,Safe R,-42.29,4.35,-47.04,6.21,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,29.59,70.41,0.0,65530,155957,0,0,221487
AL-04,house,AL,04,Democratic candidate (AL-04),Republican candidate (AL-04),DEM,REP,REP,REP,-61.14,0.0,100.0,Safe R,-62.49,4.35,-66.99,5.85,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,19.43,80.57,0.0,44045,182658,0,0,226703
AL-05,house,AL,05,Democratic candidate (AL-05),Republican candidate (AL-05),DEM,REP,REP,REP,-24.39,1.0,99.0,Safe R,-25.96,4.35,-29.51,5.12,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,37.8,62.2,0.0,93569,153951,0,0,247520
AL-06,house,AL,06,Democratic candidate (AL-06),Republican candidate (AL-06),DEM,REP,REP,REP,-29.88,0.2,99.8,Safe R,-31.47,4.35,-34.79,4.91,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,35.06,64.94,0.0,85774,158857,0,0,244631
AL-07,house,AL,07,Democratic candidate (AL-07),Republican candidate (AL-07),DEM,REP,DEM,DEM,28.42,99.7,0.3,Safe D,22.65,4.35,17.99,10.43,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,64.21,35.79,0.0,135070,75282,0,0,210352
AR-01,house,AR,01,Democratic candidate (AR-01),Republican candidate (AR-01),DEM,REP,REP,REP,-41.53,0.0,100.0,Safe R,-42.87,4.35,-46.4,4.86,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,29.23,70.77,0.0,57246,138579,0,0,195826
AR-02,house,AR,02,Democratic candidate (AR-02),Republican candidate (AR-02),DEM,REP,REP,REP,-12.0,12.5,87.5,Likely R,-13.63,4.35,-16.22,4.21,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,44.0,56.0,0.0,99208,126267,0,0,225476
AR-03,house,AR,03,Democratic candidate (AR-03),Republican candidate (AR-03),DEM,REP,REP,REP,-21.81,1.8,98.2,Safe R,-23.8,4.35,-25.81,4.01,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,39.1,60.9,0.0,86637,134961,0,0,221598
AR-04,house,AR,04,Democratic candidate (AR-04),Republican candidate (AR-04),DEM,REP,REP,REP,-35.52,0.0,100.0,Safe R,-37.24,4.35,-40.73,5.21,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,32.24,67.76,0.0,63365,133192,0,0,196558
AZ-01,house,AZ,01,Democratic candidate (AZ-01),Republican candidate (AZ-01),DEM,REP,REP,REP,3.16,61.9,38.1,Lean D,0.98,4.35,-3.14,6.3,False,False,LIB,,0.0,0.0,,,0.0,projected,projected,42.79,41.59,2,1.1999999999999957,0.15,50.61,47.51,1.88,159680,149902,5932,0,315514
AZ-02,house,AZ,02,Democratic candidate (AZ-02),Republican candidate (AZ-02),DEM,REP,REP,REP,-8.9,19.7,80.3,Likely R,-10.24,4.35,-15.12,6.22,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,45.55,54.45,0.0,132798,158736,0,0,291534
AZ-03,house,AZ,03,Democratic candidate (AZ-03),Republican candidate (AZ-03),DEM,REP,DEM,DEM,56.68,100.0,0.0,Safe D,46.46,4.35,40.31,16.37,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,78.34,21.66,0.0,116928,32327,0,0,149255
AZ-04,house,AZ,04,Democratic candidate (AZ-04),Republican candidate (AZ-04),DEM,REP,DEM,DEM,16.98,94.8,5.2,Likely D,10.55,4.35,6.76,10.22,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,58.49,41.51,0.0,142277,100978,0,0,243254
AZ-05,house,AZ,05,Democratic candidate (AZ-05),Republican candidate (AZ-05),DEM,REP,REP,REP,-14.05,8.9,91.1,Likely R,-16.34,4.35,-20.19,6.15,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,42.98,57.02,0.0,133882,177635,0,0,311518
